areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2021-10-10,6931
overview,United Kingdom,K02000001,2021-10-09,6760
overview,United Kingdom,K02000001,2021-10-08,6816
overview,United Kingdom,K02000001,2021-10-07,6837
overview,United Kingdom,K02000001,2021-10-06,6887
overview,United Kingdom,K02000001,2021-10-05,6902
overview,United Kingdom,K02000001,2021-10-04,6826
overview,United Kingdom,K02000001,2021-10-03,6635
overview,United Kingdom,K02000001,2021-10-02,6478
overview,United Kingdom,K02000001,2021-10-01,6627
overview,United Kingdom,K02000001,2021-09-30,6795
overview,United Kingdom,K02000001,2021-09-29,6939
overview,United Kingdom,K02000001,2021-09-28,7052
overview,United Kingdom,K02000001,2021-09-27,7070
overview,United Kingdom,K02000001,2021-09-26,6839
overview,United Kingdom,K02000001,2021-09-25,6978
overview,United Kingdom,K02000001,2021-09-24,6932
overview,United Kingdom,K02000001,2021-09-23,7184
overview,United Kingdom,K02000001,2021-09-22,7432
overview,United Kingdom,K02000001,2021-09-21,7639
overview,United Kingdom,K02000001,2021-09-20,7812
overview,United Kingdom,K02000001,2021-09-19,7761
overview,United Kingdom,K02000001,2021-09-18,7710
overview,United Kingdom,K02000001,2021-09-17,7921
overview,United Kingdom,K02000001,2021-09-16,8128
overview,United Kingdom,K02000001,2021-09-15,8410
overview,United Kingdom,K02000001,2021-09-14,8404
overview,United Kingdom,K02000001,2021-09-13,8481
overview,United Kingdom,K02000001,2021-09-12,8258
overview,United Kingdom,K02000001,2021-09-11,8148
overview,United Kingdom,K02000001,2021-09-10,8320
overview,United Kingdom,K02000001,2021-09-09,8149
overview,United Kingdom,K02000001,2021-09-08,8140
overview,United Kingdom,K02000001,2021-09-07,7984
overview,United Kingdom,K02000001,2021-09-06,8040
overview,United Kingdom,K02000001,2021-09-05,7754
overview,United Kingdom,K02000001,2021-09-04,7559
overview,United Kingdom,K02000001,2021-09-03,7674
overview,United Kingdom,K02000001,2021-09-02,7625
overview,United Kingdom,K02000001,2021-09-01,7685
overview,United Kingdom,K02000001,2021-08-31,7681
overview,United Kingdom,K02000001,2021-08-30,7343
overview,United Kingdom,K02000001,2021-08-29,7114
overview,United Kingdom,K02000001,2021-08-28,6984
overview,United Kingdom,K02000001,2021-08-27,7089
overview,United Kingdom,K02000001,2021-08-26,7035
overview,United Kingdom,K02000001,2021-08-25,6990
overview,United Kingdom,K02000001,2021-08-24,6964
overview,United Kingdom,K02000001,2021-08-23,7022
overview,United Kingdom,K02000001,2021-08-22,6752
